J,v,e/f,Ref,TypeTag,Lifetime_Obs,Unc_Obs,Lifetime_Calc,Unc_Calc,OC,RealDifference
9.5,1,e,78BrErLy,Exp,790000.0,20000.0,5599496.880564785,3052278.300895957,-4809496.880564785,1737218.5796688278
10.5,1,e,78BrErLy,Exp,800000.0,20000.0,8208231.2268679,4474295.922811279,-7408231.2268679,2913935.304056621
11.5,1,e,78BrErLy,Exp,810000.0,20000.0,7113860.819707596,3877756.0696484074,-6303860.819707596,2406104.7500591883
12.5,1,e,78BrErLy,Exp,850000.0,20000.0,11758249.978324607,6409406.421837424,-10908249.978324607,4478843.556487183
13.5,1,e,78BrErLy,Exp,840000.0,20000.0,5019771.069556613,2736270.5324924723,-4179771.0695566135,1423500.5370641411
13.5,1,f,78BrErLy,Exp,830000.0,20000.0,4810466.761753368,2622179.0327348267,-3980466.761753368,1338287.7290185415
14.5,1,e,78BrErLy,Exp,790000.0,30000.0,6539686.253823836,3564774.2775777266,-5749686.253823836,2154911.9762461097
14.5,1,f,78BrErLy,Exp,820000.0,20000.0,1999622.8393502154,1089991.7497425256,-1179622.8393502154,69631.08960768976
15.5,1,e,78BrErLy,Exp,670000.0,40000.0,580400.4250960114,142255.37211656128,89599.57490398863,0
15.5,1,f,78BrErLy,Exp,730000.0,30000.0,1406270.5580090273,884612.4179775764,-676270.5580090273,0
16.5,1,e,78BrErLy,Exp,490000.0,40000.0,867281.6903318185,282248.11802154867,-377281.69033181854,55033.57231026987
16.5,1,f,78BrErLy,Exp,560000.0,40000.0,691150.2056278362,173574.31539095144,-131150.20562783617,0
17.5,1,e,78BrErLy,Exp,220000.0,30000.0,435649.9613869779,104895.84622470051,-215649.96138697793,80754.11516227742
17.5,1,f,78BrErLy,Exp,290000.0,30000.0,253988.28153882173,73863.8361054696,36011.71846117827,0
18.5,1,f,78BrErLy,Exp,170000.0,30000.0,133468.31462337702,33438.69861487185,36531.685376622976,0
19.5,1,f,78BrErLy,Exp,110000.0,30000.0,66330.08558794617,9120.270546240281,43669.914412053826,4549.643865813545
0.5,2,e,78BrErLy,Exp,150000.0,20000.0,171563.02081966613,37111.88791753987,-21563.020819666126,0
0.5,2,f,78BrErLy,Exp,150000.0,20000.0,167208.98265029452,39687.68976750315,-17208.98265029452,0
1.5,2,e,78BrErLy,Exp,135000.0,15000.0,162717.09973561173,33795.57804797109,-27717.09973561173,0
1.5,2,f,78BrErLy,Exp,135000.0,15000.0,151196.65190500702,34922.46792685465,-16196.65190500702,0
2.5,2,e,78BrErLy,Exp,130000.0,10000.0,135393.2427401297,30416.715860900713,-5393.242740129703,0
2.5,2,f,78BrErLy,Exp,130000.0,10000.0,125698.20326478024,28797.860962620885,4301.796735219759,0
3.5,2,e,78BrErLy,Exp,115000.0,10000.0,112583.37109036767,24839.194926549317,2416.6289096323308,0
3.5,2,f,78BrErLy,Exp,115000.0,10000.0,102797.6492789477,22842.279823755103,12202.350721052295,0
4.5,2,e,78BrErLy,Exp,92000.0,10000.0,90252.28217765053,13096.928180309334,1747.7178223494702,0
4.5,2,f,78BrErLy,Exp,92000.0,10000.0,78559.1211101313,11832.553539496766,13440.878889868705,0
5.5,2,e,78BrErLy,Exp,72000.0,6000.0,65551.43532456402,9783.219277059865,6448.564675435977,0
5.5,2,f,78BrErLy,Exp,72000.0,6000.0,52773.602732962616,9240.58763674717,19226.397267037384,3985.809630290214
